Q vs QB X,Q vs QB Y,QB vs Q X,QB vs Q Y
1.799999923867915,0,0,1.799999923867915
1.799999906641832,0.036,0.036,1.799999906641832
1.799999859494658,0.07200000000000001,0.07200000000000001,1.799999859494658
1.799999726586988,0.108,0.108,1.799999726586988
1.799999348140586,0.144,0.144,1.799999348140586
1.79999826951716,0.18,0.18,1.79999826951716
1.799995209941218,0.216,0.216,1.799995209941218
1.79998662189743,0.252,0.252,1.79998662189743
1.799962945180157,0.288,0.288,1.799962945180157
1.799899476839779,0.3240000000000001,0.3240000000000001,1.799899476839779
1.799736084489985,0.3600000000000001,0.3600000000000001,1.799736084489985
1.799337008937267,0.3960000000000001,0.3960000000000001,1.799337008937267
1.798419131844474,0.4320000000000002,0.4320000000000002,1.798419131844474
1.796429731676667,0.4680000000000002,0.4680000000000002,1.796429731676667
1.792342212216844,0.5040000000000002,0.5040000000000002,1.792342212216844
1.784357537645213,0.5400000000000003,0.5400000000000003,1.784357537645213
1.769577240606027,0.5760000000000003,0.5760000000000003,1.769577240606027
1.743666265875284,0.6120000000000003,0.6120000000000003,1.743666265875284
1.699869615799978,0.6480000000000004,0.6480000000000004,1.699869615799978
1.623207377088035,0.6840000000000004,0.6840000000000004,1.623207377088035
1.411860049707822,0.7200000000000004,0.7200000000000004,1.411860049707822
0.1893934503995321,0.7560000000000004,0.7560000000000004,0.1893934503995321
0.09762406791003135,0.7920000000000005,0.7920000000000005,0.09762406791003135
0.0648763467744448,0.8280000000000005,0.8280000000000005,0.0648763467744448
0.04587619861726749,0.8640000000000005,0.8640000000000005,0.04587619861726749
0.03316985479560411,0.9000000000000006,0.9000000000000006,0.03316985479560411
0.02410131423067936,0.9360000000000006,0.9360000000000006,0.02410131423067936
0.01736537799106798,0.9720000000000006,0.9720000000000006,0.01736537799106798
0.01227113406879854,1.008000000000001,1.008000000000001,0.01227113406879854
0.008406271622280009,1.044000000000001,1.044000000000001,0.008406271622280009
0.005510641145547668,1.080000000000001,1.080000000000001,0.005510641145547668
0.003408513203658308,1.116000000000001,1.116000000000001,0.003408513203658308
0.001963536480581854,1.152000000000001,1.152000000000001,0.001963536480581854
0.001045799703686513,1.188000000000001,1.188000000000001,0.001045799703686513
0.0005169258730733034,1.224000000000001,1.224000000000001,0.0005169258730733034
0.0002407784614720149,1.260000000000001,1.260000000000001,0.0002407784614720149
0.0001076501891340284,1.296000000000001,1.296000000000001,0.0001076501891340284
4.67461136435562e-05,1.332000000000001,1.332000000000001,4.67461136435562e-05
1.980638549450767e-05,1.368000000000001,1.368000000000001,1.980638549450767e-05
8.212417707894744e-06,1.404000000000001,1.404000000000001,8.212417707894744e-06
3.348543219806739e-06,1.440000000000001,1.440000000000001,3.348543219806739e-06
1.352924448847165e-06,1.476000000000001,1.476000000000001,1.352924448847165e-06
5.481231473699392e-07,1.512000000000001,1.512000000000001,5.481231473699392e-07
2.274156280159465e-07,1.548000000000001,1.548000000000001,2.274156280159465e-07
1.005272471934466e-07,1.584000000000001,1.584000000000001,1.005272471934466e-07
5.045366138728882e-08,1.620000000000001,1.620000000000001,5.045366138728882e-08
3.0633297399083e-08,1.656000000000001,1.656000000000001,3.0633297399083e-08
2.268887224755518e-08,1.692000000000001,1.692000000000001,2.268887224755518e-08
1.940303337441995e-08,1.728000000000001,1.728000000000001,1.940303337441995e-08
1.794896476948179e-08,1.764000000000001,1.764000000000001,1.794896476948179e-08
1.72206569142258e-08,1.8,1.8,1.72206569142258e-08
